FspId,FspX,FspY,SegId,FilledElev,DsDist,StrOrd
400,-59818.2057939356,1798757.9445651,4,333.79541015625,26606.155826266528,3
401,-59808.2057939356,1798757.9445651,4,333.752746582031,26596.155826266528,3
402,-59798.2057939356,1798757.9445651,4,333.752746582031,26586.155826266528,3
403,-59788.2057939356,1798757.9445651,4,333.752746582031,26576.155826266528,3
404,-59778.2057939356,1798757.9445651,4,333.752746582031,26566.155826266528,3
405,-59768.2057939356,1798757.9445651,4,333.752746582031,26556.155826266528,3
406,-59758.2057939356,1798747.9445651,4,333.549743652344,26542.013690642798,3
407,-59748.2057939356,1798747.9445651,4,333.549743652344,26532.013690642798,3
408,-59738.2057939356,1798747.9445651,4,333.549743652344,26522.013690642798,3
409,-59728.2057939356,1798737.9445651,4,333.549743652344,26507.87155501907,3
410,-59718.2057939356,1798737.9445651,4,333.333709716797,26497.87155501907,3
411,-59708.2057939356,1798737.9445651,4,333.333709716797,26487.87155501907,3
412,-59698.2057939356,1798737.9445651,4,333.333709716797,26477.87155501907,3
413,-59688.2057939356,1798727.9445651,4,333.333709716797,26463.729419395335,3
414,-59678.2057939356,1798727.9445651,4,333.333709716797,26453.729419395335,3
415,-59668.2057939356,1798727.9445651,4,333.333709716797,26443.729419395335,3
416,-59658.2057939356,1798727.9445651,4,333.333709716797,26433.729419395335,3
417,-59648.2057939356,1798717.9445651,4,333.333709716797,26419.587283771605,3
418,-59638.2057939356,1798707.9445651,4,333.333709716797,26405.445148147875,3
419,-59628.2057939356,1798707.9445651,4,333.333709716797,26395.445148147875,3
420,-59618.2057939356,1798697.9445651,4,333.333709716797,26381.303012524142,3
421,-59608.2057939356,1798687.9445651,4,333.333709716797,26367.160876900412,3
422,-59598.2057939356,1798677.9445651,4,333.333709716797,26353.01874127668,3
423,-59588.2057939356,1798677.9445651,4,333.333709716797,26343.01874127668,3
424,-59578.2057939356,1798667.9445651,4,333.333709716797,26328.87660565295,3
425,-59568.2057939356,1798667.9445651,4,333.333709716797,26318.87660565295,3
426,-59558.2057939356,1798667.9445651,4,333.333709716797,26308.87660565295,3
427,-59548.2057939356,1798657.9445651,4,333.333709716797,26294.73447002922,3
428,-59538.2057939356,1798657.9445651,4,333.333709716797,26284.73447002922,3
429,-59528.2057939356,1798657.9445651,4,333.333709716797,26274.73447002922,3
430,-59518.2057939356,1798647.9445651,4,333.333709716797,26260.592334405486,3
431,-59508.2057939356,1798647.9445651,4,333.333709716797,26250.592334405486,3
432,-59498.2057939356,1798637.9445651,4,333.333709716797,26236.450198781757,3
433,-59488.2057939356,1798637.9445651,4,333.333709716797,26226.450198781757,3
434,-59478.2057939356,1798637.9445651,4,333.333709716797,26216.450198781757,3
435,-59468.2057939356,1798627.9445651,4,333.333709716797,26202.308063158023,3
436,-59458.2057939356,1798617.9445651,4,333.333709716797,26188.165927534294,3
437,-59448.2057939356,1798607.9445651,4,333.333709716797,26174.023791910564,3
438,-59438.2057939356,1798607.9445651,4,333.333709716797,26164.023791910564,3
439,-59428.2057939356,1798597.9445651,4,333.333709716797,26149.88165628683,3
440,-59418.2057939356,1798597.9445651,4,333.333709716797,26139.88165628683,3
